year,avgTemp,minTemp,maxTemp,rainFall,accomodation(1000),concert,culture,food,history,sport,nature,rest,shopping
2015-04-15,15.6,10.1,20.3,0,0.335,0.009,0.105,0.529,0.032,0.076,0.595,0.155,0.076
2015-04-16,17.3,13.1,24.9,0,0.448,0.015,0.109,0.652,0.026,0.08,0.559,0.185,0.082
2015-04-17,14.1,10.1,18,0,0.617,0.014,0.157,0.836,0.035,0.138,0.759,0.237,0.117
2015-04-18,17.9,13,24.1,27.9,0.847,0.043,0.302,1.342,0.022,0.15,0.688,0.299,0.148
2015-04-19,18.5,15.5,23.9,10.3,0.565,0.055,0.274,1.092,0.039,0.137,0.683,0.337,0.183
2015-04-20,12.9,12,15.5,2.9,0.413,0.019,0.132,0.724,0.024,0.102,0.626,0.219,0.108
2015-04-21,14.2,12.5,17.5,0,0.346,0.015,0.107,0.631,0.039,0.087,0.612,0.181,0.09
2015-04-22,15.5,11.1,21.2,0,0.385,0.007,0.112,0.635,0.038,0.087,0.631,0.199,0.116
2015-04-23,15.5,11.8,19.2,0,0.478,0.026,0.127,0.736,0.034,0.103,0.675,0.207,0.088
2015-04-24,17.3,13.4,22,0,0.556,0.015,0.148,0.872,0.032,0.153,0.755,0.2,0.119
2015-04-25,17.2,13.6,23.6,0,0.797,0.053,0.22,1.369,0.037,0.212,1.091,0.321,0.143
2015-04-26,18.8,14.1,23.1,0,0.563,0.023,0.218,1.315,0.046,0.189,1.063,0.372,0.136
2015-04-27,19.5,14.9,23.1,0,0.381,0.018,0.134,0.84,0.024,0.117,0.633,0.236,0.133
2015-04-28,20.7,17.9,25.3,1,0.378,0.015,0.168,0.646,0.023,0.05,0.399,0.212,0.115
2015-04-29,17.7,15.4,22.1,3.8,0.405,0.023,0.154,0.619,0.02,0.084,0.473,0.164,0.104
2015-04-30,16.4,15.3,18.2,9.1,0.668,0.017,0.21,0.944,0.033,0.119,0.646,0.217,0.101
2015-05-01,18,15.5,21.4,0,1.009,0.024,0.218,1.636,0.047,0.283,1.329,0.378,0.139
2015-05-02,18.3,14.5,23.2,24.8,1.298,0.033,0.344,2.244,0.047,0.327,1.46,0.504,0.229
2015-05-03,18.1,14.8,22,6.7,1.267,0.057,0.644,2.493,0.069,0.349,1.602,0.621,0.219
2015-05-04,16.5,13.3,21.7,0,1.015,0.035,0.429,1.987,0.068,0.341,1.498,0.504,0.173
2015-05-05,14.8,11,18.5,0,0.706,0.028,0.436,1.72,0.069,0.309,1.548,0.468,0.14
2015-05-06,15.3,13.2,17.8,0,0.437,0.014,0.221,0.906,0.05,0.15,0.696,0.236,0.109
2015-05-07,17.2,13.2,21.7,0,0.423,0.011,0.15,0.78,0.032,0.128,0.746,0.216,0.129
2015-05-08,17.7,14.5,20.8,0,0.555,0.016,0.152,0.797,0.025,0.122,0.76,0.235,0.09
