year,avgTemp,minTemp,maxTemp,rainFall,avgVisitor,ID,10000Visitor
2018-06-06,20.7,18.8,23.8,0,137165,20180606,13.7165
2018-06-07,21.3,18.9,24.4,0,134578,20180607,13.4578
2018-06-08,20.9,18.9,24.6,0,136101,20180608,13.6101
2018-06-09,22.2,18.9,26.9,0,146590,20180609,14.659
2018-06-10,19.9,18.4,21.1,2.1,140486,20180610,14.0486
2018-06-11,19.4,18,22.4,23.9,133136,20180611,13.3136
2018-06-12,21.1,18.7,24.5,3.1,131828,20180612,13.1828
2018-06-13,21.9,17.7,28.8,0,135734,20180613,13.5734
2018-06-14,22.1,19.5,25.6,0,134456,20180614,13.4456
2018-06-15,21.1,19,23.8,0,139650,20180615,13.965
2018-06-16,20.3,18.3,23,0,149482,20180616,14.9482
2018-06-17,20.8,18.9,24.5,0,144000,20180617,14.4
2018-06-18,22,19.5,24.1,0,138068,20180618,13.8068
2018-06-19,22,19.7,24.3,31.3,136752,20180619,13.6752
2018-06-20,21.9,19.7,25.3,1,142457,20180620,14.2457
2018-06-21,22.7,20.2,26.8,0,147836,20180621,14.7836
2018-06-22,22.8,20.1,25.6,0.3,153930,20180622,15.393
2018-06-23,22.7,19.8,25.1,1.4,158095,20180623,15.8095
2018-06-24,23.9,20.6,27,0,155456,20180624,15.5456
2018-06-25,24,20.6,27.5,0,154007,20180625,15.4007
2018-06-26,28.2,23.6,32.3,0,154231,20180626,15.4231
2018-06-27,26.3,24.3,29,17.3,156786,20180627,15.6786
2018-06-28,25.7,23.4,28.5,44,156107,20180628,15.6107
2018-06-29,25.2,23.2,28.9,10.4,154242,20180629,15.4242
2018-06-30,24,22,26.8,47.8,148603,20180630,14.8603
2018-07-01,27.3,22.7,30.4,7.5,113981,20180701,11.3981
2018-07-02,27.3,24.1,31.4,0,103674,20180702,10.3674
2018-07-03,24.1,22.8,25.5,1.6,105217,20180703,10.5217
2018-07-04,26,24.2,29.8,0,119220,20180704,11.922
2018-07-05,24.8,23.6,26.5,0,128702,20180705,12.8702
2018-07-06,22.7,21.7,24,38.1,134712,20180706,13.4712
2018-07-07,21.3,19.9,22.3,0,141530,20180707,14.153
2018-07-08,20.9,19.6,22.5,1.3,142219,20180708,14.2219
2018-07-09,24.6,21.1,28.5,0.1,140556,20180709,14.0556
2018-07-10,28.3,24.7,33.1,0,141295,20180710,14.1295
2018-07-11,30,27.4,35,0,147133,20180711,14.7133
2018-07-12,28,26,30.4,0,153566,20180712,15.3566
2018-07-13,26.7,25.2,29.2,0,156930,20180713,15.693
2018-07-14,26.9,24.8,29.5,0,160548,20180714,16.0548
2018-07-15,27,24.4,29.8,0,156814,20180715,15.6814
2018-07-16,27,24.5,29.5,0,152509,20180716,15.2509
2018-07-17,27.3,24.8,30.1,0,151980,20180717,15.198
2018-07-18,27.7,24.6,30.6,0,152310,20180718,15.231
2018-07-19,27.8,24.7,31,0,153468,20180719,15.3468
2018-07-20,28.8,25.8,31.6,0,153696,20180720,15.3696
2018-07-21,28.9,25,33.9,0,159030,20180721,15.903
2018-07-22,29.2,28.2,30.8,0.1,156356,20180722,15.6356
2018-07-23,29.9,27,34.1,0,151372,20180723,15.1372
2018-07-24,29.2,27.5,31.7,0,151952,20180724,15.1952
2018-07-25,29.1,27.5,31.9,0,156446,20180725,15.6446
2018-07-26,29.1,27.5,31.8,0,160436,20180726,16.0436
2018-07-27,29.3,27.1,32.5,0,169214,20180727,16.9214
2018-07-28,29.1,27.4,31.1,0,180918,20180728,18.0918
2018-07-29,29.4,27.2,32.5,0,188318,20180729,18.8318
2018-07-30,28.9,27.6,31.1,0,193074,20180730,19.3074
2018-07-31,28.7,25.8,31.6,0,199472,20180731,19.9472
2018-08-01,29.2,26.3,32.3,0,173338,20180801,17.3338
2018-08-02,29,26.7,32.1,0,177849,20180802,17.7849
2018-08-03,30,28.1,34.1,0.9,179602,20180803,17.9602
2018-08-04,29.5,27.8,32,0,181072,20180804,18.1072
2018-08-05,29.9,27.4,33.3,0,174552,20180805,17.4552
2018-08-06,30.1,28.1,32.8,0,170296,20180806,17.0296
2018-08-07,29.7,27.9,31.9,0,166918,20180807,16.6918
2018-08-08,29.3,26.9,31.8,0,165806,20180808,16.5806
2018-08-09,29.6,27.5,32.6,0,164566,20180809,16.4566
2018-08-10,29.9,27.5,33.2,0,168378,20180810,16.8378
2018-08-11,28.8,27.8,32.4,0,173173,20180811,17.3173
2018-08-12,29.8,26.1,33.3,41.1,170506,20180812,17.0506
2018-08-13,31.1,28.7,34.4,0.2,168658,20180813,16.8658
2018-08-14,31.2,28.6,35.3,0,173302,20180814,17.3302
2018-08-15,29.7,27.8,33.5,1.4,172991,20180815,17.2991
2018-08-16,27.5,25.2,28.8,12.7,169785,20180816,16.9785
2018-08-17,26.2,24.4,28.4,8,170527,20180817,17.0527
2018-08-18,26.7,24.4,30.7,0,174948,20180818,17.4948
2018-08-19,28.3,24.8,33.2,0,166201,20180819,16.6201
2018-08-20,29.2,27,32.8,0,162855,20180820,16.2855
2018-08-21,28.1,24.8,30.6,0,160244,20180821,16.0244
2018-08-22,27.8,25.9,30.5,36.9,142020,20180822,14.202
2018-08-23,26.5,25.6,29.2,265.4,115440,20180823,11.544
2018-08-24,27.2,24.9,30,0,153601,20180824,15.3601
2018-08-25,26.4,24.7,31.2,1.4,153072,20180825,15.3072
2018-08-26,28.3,26,31.8,8.5,154900,20180826,15.49
2018-08-27,28.4,26.1,32,0,162172,20180827,16.2172
2018-08-28,27.8,25.9,30.4,0,168476,20180828,16.8476
2018-08-29,28.5,25.1,33.9,0,171675,20180829,17.1675
2018-08-30,28.9,25.8,34.5,0,171594,20180830,17.1594
2018-08-31,30,25.6,33.3,0,167058,20180831,16.7058
2018-09-01,25.8,23.3,28.9,9.5,136829,20180901,13.6829
2018-09-02,24.9,22.7,29.2,1.1,133872,20180902,13.3872
2018-09-03,27,24.1,31.2,0.5,129066,20180903,12.9066
2018-09-04,26.2,23.5,29.1,7.1,128282,20180904,12.8282
2018-09-05,26.6,23.2,30.8,0,131120,20180905,13.112
2018-09-06,26.2,24.5,29.2,0,137092,20180906,13.7092
2018-09-07,24.3,21,27.4,11.8,143154,20180907,14.3154
2018-09-08,22.3,19.4,24.9,0,149482,20180908,14.9482
2018-09-09,23,19.1,26.3,0,143756,20180909,14.3756
2018-09-10,23,20.2,26.2,0,136490,20180910,13.649
2018-09-11,22.3,21.4,23.8,0.2,134729,20180911,13.4729
2018-09-12,23,21.4,24.8,0.2,139520,20180912,13.952
2018-09-13,23.5,21.6,24.3,139.3,139853,20180913,13.9853
2018-09-14,25.3,23,27.8,0,144389,20180914,14.4389
2018-09-15,25.2,23.5,28,0.4,143171,20180915,14.3171
2018-09-16,25.5,23,28.5,0,134267,20180916,13.4267
2018-09-17,24.6,23.4,28.3,0.1,126140,20180917,12.614
2018-09-18,25,23.4,28.1,0,120085,20180918,12.0085
2018-09-19,23.3,21.3,25.4,0,117082,20180919,11.7082
2018-09-20,25.2,22.3,27.7,11.6,114762,20180920,11.4762
2018-09-21,24.5,23.4,28.2,2.9,125198,20180921,12.5198
2018-09-22,24.2,22.3,27.6,0,151879,20180922,15.1879
2018-09-23,24.4,21.2,29.6,0,180904,20180923,18.0904
2018-09-24,21.9,19.2,23.7,0,199556,20180924,19.9556
2018-09-25,21.5,19.3,24.1,0,188416,20180925,18.8416
2018-09-26,22.2,20.8,24.9,0,162603,20180926,16.2603
2018-09-27,21.2,18.5,23.6,0,143689,20180927,14.3689
2018-09-28,21.7,19.4,24.3,0,137504,20180928,13.7504
2018-09-29,20.7,18.5,22.3,3,139524,20180929,13.9524
2018-09-30,21.9,20.2,25.2,0,137025,20180930,13.7025
2018-10-01,21.3,19.7,23.5,0,106914,20181001,10.6914
2018-10-02,20.7,17.6,23.6,0,109812,20181002,10.9812
2018-10-03,19.2,16.5,22.3,0,111062,20181003,11.1062
2018-10-04,20.4,17.8,21.9,3.4,105536,20181004,10.5536
2018-10-05,21.6,20.6,24.5,310,88778,20181005,8.8778
2018-10-06,21.1,19.6,24.7,27.4,92750,20181006,9.275
2018-10-07,20.6,17.9,23.9,0,115398,20181007,11.5398
2018-10-08,19.2,16.6,22.3,0,125720,20181008,12.572
2018-10-09,20.3,17.5,22.3,0,134796,20181009,13.4796
2018-10-10,18.3,16.3,20.5,0,135034,20181010,13.5034
2018-10-11,16.3,15.1,18.5,0,139450,20181011,13.945
2018-10-12,15.6,13.2,18,0,148452,20181012,14.8452
2018-10-13,15.4,11.8,19,0,151711,20181013,15.1711
2018-10-14,17.6,13.2,20.4,0,147494,20181014,14.7494
2018-10-15,18.7,16.2,20.6,0,141134,20181015,14.1134
2018-10-16,16.1,14,19.3,3.2,142734,20181016,14.2734
2018-10-17,16.8,13.1,20.6,0,150370,20181017,15.037
2018-10-18,16.6,15.2,19.3,0,154612,20181018,15.4612
2018-10-19,16.1,12.9,19.5,0,158946,20181019,15.8946
2018-10-20,16.3,12.5,20.5,0,159033,20181020,15.9033
2018-10-21,17.1,13.7,20.7,0,152201,20181021,15.2201
2018-10-22,17.4,14.5,20.6,0.3,143112,20181022,14.3112
2018-10-23,18.5,16.4,21.9,0,143042,20181023,14.3042
2018-10-24,16.8,13.8,19.7,0,147710,20181024,14.771
2018-10-25,17.4,11.6,22.8,0,151868,20181025,15.1868
2018-10-26,18.5,16.3,21.8,2.7,155166,20181026,15.5166
2018-10-27,15.6,14.5,17.9,0,157815,20181027,15.7815
2018-10-28,17.5,13.1,21.1,0,152044,20181028,15.2044
2018-10-29,18,15.2,22,0,143126,20181029,14.3126
2018-10-30,14.8,13.2,17.4,0,138946,20181030,13.8946
2018-10-31,14.1,11.6,18,0,141494,20181031,14.1494
2018-11-01,13.4,11.2,16.3,0,121544,20181101,12.1544
2018-11-02,14.4,9.6,18.5,0,133206,20181102,13.3206
2018-11-03,15.2,11.4,18.5,0,138254,20181103,13.8254
2018-11-04,15.2,12.3,19.6,0,132150,20181104,13.215
2018-11-05,15,10.5,18.8,0,122451,20181105,12.2451
2018-11-06,16.5,12.9,19.9,0,120050,20181106,12.005
2018-11-07,17.4,16.1,18.8,1.5,122602,20181107,12.2602
2018-11-08,17.7,15.1,20.5,18.5,126574,20181108,12.6574
2018-11-09,14.6,11.3,17.2,0,134970,20181109,13.497
2018-11-10,13.6,9.7,17.8,0,139016,20181110,13.9016
2018-11-11,14.6,10.5,18.3,2.4,132674,20181111,13.2674
2018-11-12,13.8,13,15.5,2.2,122276,20181112,12.2276
2018-11-13,13.8,12.5,16.3,0,117523,20181113,11.7523
2018-11-14,13.3,10.2,16.3,0,120449,20181114,12.0449
2018-11-15,16,11.2,20.1,0,124362,20181115,12.4362
2018-11-16,14.9,13.5,17.4,3.6,133994,20181116,13.3994
2018-11-17,12.6,9.7,15.4,0,142688,20181117,14.2688
2018-11-18,12.3,9.6,15.1,0,135618,20181118,13.5618
2018-11-19,13.2,11.8,15.7,0,122626,20181119,12.2626
2018-11-20,12.6,10.1,15.6,0,114310,20181120,11.431
2018-11-21,13.3,9.9,16.7,0.4,113572,20181121,11.3572
